"","Specie.Code","year","session","Location","N","i","tot_net_hours","caps_per_1K_nethours","tot.yrs","year_cent"
"1","AGCU",2006,"PRIMERA","LLAV",0,1,256.3,0,2,-5
"2","AGCU",2007,"PRIMERA","LLAV",1,2,311,3.21543408360129,2,-4
"3","AGCU",2008,"PRIMERA","LLAV",1,3,90.75,11.0192837465565,2,-3
"4","AGCU",2009,"PRIMERA","LLAV",0,4,242,0,2,-2
"5","AGCU",2010,"PRIMERA","LLAV",0,5,248,0,2,-1
"6","AGCU",2011,"PRIMERA","LLAV",0,6,266.5,0,2,0
"7","AGCU",2012,"PRIMERA","LLAV",0,7,175,0,2,1
"8","AGCU",2013,"PRIMERA","LLAV",0,8,241,0,2,2
"9","AGCU",2014,"PRIMERA","LLAV",0,9,271.5,0,2,3
"10","AGCU",2015,"PRIMERA","LLAV",0,10,296.5,0,2,4
"11","AGCU",2016,"PRIMERA","LLAV",0,11,219,0,2,5
"12","AGCU",2006,"SEGUNDA","LLAV",4,12,291.6,13.7174211248285,6,-5
"13","AGCU",2007,"SEGUNDA","LLAV",6,13,256.6,23.3826968043648,6,-4
"14","AGCU",2008,"SEGUNDA","LLAV",1,14,210,4.76190476190476,6,-3
"15","AGCU",2009,"SEGUNDA","LLAV",2,15,194,10.3092783505155,6,-2
"16","AGCU",2010,"SEGUNDA","LLAV",0,16,241,0,6,-1
"17","AGCU",2011,"SEGUNDA","LLAV",0,17,230,0,6,0
"18","AGCU",2012,"SEGUNDA","LLAV",1,18,83.5,11.9760479041916,6,1
"19","AGCU",2013,"SEGUNDA","LLAV",0,19,252,0,6,2
"20","AGCU",2014,"SEGUNDA","LLAV",0,20,229,0,6,3
"21","AGCU",2015,"SEGUNDA","LLAV",0,21,255,0,6,4
"22","AGCU",2016,"SEGUNDA","LLAV",2,22,110,18.1818181818182,6,5
"23","AGCU",2006,"TERCERA","LLAV",1,23,282,3.54609929078014,2,-5
"24","AGCU",2007,"TERCERA","LLAV",0,24,320,0,2,-4
"25","AGCU",2008,"TERCERA","LLAV",0,25,248.5,0,2,-3
"26","AGCU",2009,"TERCERA","LLAV",1,26,265,3.77358490566038,2,-2
"27","AGCU",2010,"TERCERA","LLAV",0,27,191,0,2,-1
"28","AGCU",2011,"TERCERA","LLAV",0,28,198.5,0,2,0
"29","AGCU",2012,"TERCERA","LLAV",0,29,206,0,2,1
"31","AGCU",2014,"TERCERA","LLAV",0,31,438,0,2,3
"32","AGCU",2015,"TERCERA","LLAV",0,32,300,0,2,4
"33","AGCU",2016,"TERCERA","LLAV",0,33,200,0,2,5
"34","AGCU",2006,"PRIMERA","MAIN",0,34,326.6,0,0,-5
"35","AGCU",2007,"PRIMERA","MAIN",0,35,237.5,0,0,-4
"36","AGCU",2008,"PRIMERA","MAIN",0,36,269.5,0,0,-3
"37","AGCU",2009,"PRIMERA","MAIN",0,37,180,0,0,-2
"38","AGCU",2010,"PRIMERA","MAIN",0,38,284.5,0,0,-1
"39","AGCU",2011,"PRIMERA","MAIN",0,39,270,0,0,0
"40","AGCU",2012,"PRIMERA","MAIN",0,40,220,0,0,1
"41","AGCU",2013,"PRIMERA","MAIN",0,41,237,0,0,2
"42","AGCU",2014,"PRIMERA","MAIN",0,42,288.5,0,0,3
"43","AGCU",2015,"PRIMERA","MAIN",0,43,195,0,0,4
"44","AGCU",2016,"PRIMERA","MAIN",0,44,170,0,0,5
"45","AGCU",2006,"SEGUNDA","MAIN",0,45,245.2,0,0,-5
"46","AGCU",2007,"SEGUNDA","MAIN",0,46,233.4,0,0,-4
"47","AGCU",2008,"SEGUNDA","MAIN",0,47,320,0,0,-3
"48","AGCU",2009,"SEGUNDA","MAIN",0,48,320,0,0,-2
"49","AGCU",2010,"SEGUNDA","MAIN",0,49,210,0,0,-1
"50","AGCU",2011,"SEGUNDA","MAIN",0,50,279.5,0,0,0
"51","AGCU",2012,"SEGUNDA","MAIN",0,51,400,0,0,1
