"","Band.Number","Band.Size","Specie.Name","Specie.Code","Date","Location","Session","date2","year","month","day","location2","Habitat","session2","Body_Size","Diet","Foraging_Strata","Primary_Habitat","Habitat_Breadth","Rarity_Range_Size","Rarity_Local_Abund","Rarity_Neotrop_Abund"
"1","A52364","X","METALLURA TYRIANTHINA","METY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2","A52365","X","METALLURA TYRIANTHINA","METY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"3","A52366","X","METALLURA TYRIANTHINA","METY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"4","A50125","X","ERIOCNEMIS LUCIANI","ERLU","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"5","A52367","X","METALLURA TYRIANTHINA","METY","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"6","A52368","X","METALLURA TYRIANTHINA","METY","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"7","A52369","X","ERIOCNEMIS VESTITUS","ERVE","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U","D",1,"L","F","C"
"8","A52370","X","METALLURA TYRIANTHINA","METY","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"9","A52371","X","METALLURA TYRIANTHINA","METY","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"10","332","0","DIGLOSSA HUMERALIS","DIHU","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"11","333","0","DIGLOSSA HUMERALIS","DIHU","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"12","0A078","0A","OCHTHOECA FRONTALIS","OCFR","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","F"
